gene	reference	direction	firstBase	lastBase
gene_671	NC_000962.3	+	747036	747940
rplJ	NC_000962.3	+	748278	748811
rplL	NC_000962.3	+	748849	749232
gene_674	NC_000962.3	-	749241	749927
gene_675	NC_000962.3	+	750007	751502
mkl	NC_000962.3	+	751524	752591
vapC6	NC_000962.3	-	752987	753363
vapB6	NC_000962.3	-	753465	753613
gene_679	NC_000962.3	-	753700	754406
mazF2	NC_000962.3	-	754693	754987
mazE2	NC_000962.3	-	754983	755218
vapC7	NC_000962.3	-	755342	755772
vapB7	NC_000962.3	-	755775	756023
atsD	NC_000962.3	+	756145	758499
vapB8	NC_000962.3	+	758539	758797
vapC8	NC_000962.3	+	758801	759132
gene_687	NC_000962.3	+	759139	759301
rpoB	NC_000962.3	+	759811	763323
rpoC	NC_000962.3	+	763369	767312
gene_690	NC_000962.3	-	767690	769589
end	NC_000962.3	+	769800	770550
lpqP	NC_000962.3	+	770581	771417
fadE8	NC_000962.3	+	771483	773107
echA4	NC_000962.3	+	773130	774060
gene_695	NC_000962.3	+	774063	774783
echA5	NC_000962.3	+	774785	775568
mmpL5	NC_000962.3	-	775592	778478
mmpS5	NC_000962.3	-	778477	778905
Rv0678	NC_000962.3	+	778995	779485
gene_700	NC_000962.3	-	779551	780033
gene_701	NC_000962.3	-	780042	780414
gene_702	NC_000962.3	+	780720	781303
rpsL	NC_000962.3	+	781559	781927
rpsG	NC_000962.3	+	781934	782400
fusA1	NC_000962.3	+	782488	784586
tuf	NC_000962.3	+	784826	786010
gene_707	NC_000962.3	+	786156	786943
gene_708	NC_000962.3	+	787105	787918
gene_709	NC_000962.3	+	787946	789152
gene_710	NC_000962.3	-	789164	789402
gene_711	NC_000962.3	-	790027	791073
gene_712	NC_000962.3	-	791077	791657
gene_713	NC_000962.3	+	791756	791844
gene_714	NC_000962.3	+	791833	792153
gene_715	NC_000962.3	+	792161	793332
gene_716	NC_000962.3	+	793336	794524
gene_717	NC_000962.3	+	794722	795461
gene_718	NC_000962.3	+	795527	796923
gene_719	NC_000962.3	+	796934	798367
gene_720	NC_000962.3	+	798838	799440
gene_721	NC_000962.3	+	799629	799850
rpsJ	NC_000962.3	+	800487	800790
rplC	NC_000962.3	+	800813	801457
rplD	NC_000962.3	+	801463	802127
rplW	NC_000962.3	+	802135	802426
rplB	NC_000962.3	+	802533	803370
rpsS	NC_000962.3	+	803414	803687
rplV	NC_000962.3	+	803688	804276
rpsC	NC_000962.3	+	804281	805102
rplP	NC_000962.3	+	805116	805519
rpmC	NC_000962.3	+	805529	805756
rpsQ	NC_000962.3	+	805757	806165
atsA	NC_000962.3	+	806336	808691
gene_734	NC_000962.3	+	808748	809637
gene_735	NC_000962.3	+	809948	810884
rplN	NC_000962.3	+	811379	811741
rplX	NC_000962.3	+	811742	812052
rplE	NC_000962.3	+	812059	812622
rpsN1	NC_000962.3	+	812628	812808
rpsH	NC_000962.3	+	812983	813371
rplF	NC_000962.3	+	813405	813929
rplR	NC_000962.3	+	813941	814301
rpsE	NC_000962.3	+	814334	814990
rpmD	NC_000962.3	+	814994	815184
rplO	NC_000962.3	+	815192	815622
sppA	NC_000962.3	+	815665	817528
gene_747	NC_000962.3	-	817543	818438
gene_748	NC_000962.3	-	818536	819640
fucA	NC_000962.3	-	819846	820499
serA2	NC_000962.3	-	820495	821470
xylB	NC_000962.3	+	821512	822845
gene_752	NC_000962.3	+	822873	823594
gene_753	NC_000962.3	-	823682	824630
secY	NC_000962.3	+	824807	826119
adk	NC_000962.3	+	826124	826662
mapA	NC_000962.3	+	826669	827461
sigL	NC_000962.3	+	827549	828071
rslA	NC_000962.3	+	828144	828886
gene_759	NC_000962.3	+	829211	829696
gene_760	NC_000962.3	+	830067	830609
gene_761	NC_000962.3	+	830859	831652
gene_762	NC_000962.3	+	831776	832303
gene_763	NC_000962.3	+	832986	833505
gene_764	NC_000962.3	-	833887	834443
gene_765	NC_000962.3	-	834443	834944
gene_766	NC_000962.3	+	835154	835674
PE_PGRS9	NC_000962.3	+	835703	838048
PE_PGRS10	NC_000962.3	+	838454	840848
vapB31	NC_000962.3	+	840949	841204
vapC31	NC_000962.3	+	841230	841653
gene_771	NC_000962.3	-	841742	841873
gene_772	NC_000962.3	+	842034	842278
mmsB	NC_000962.3	-	842350	843225
fadE9	NC_000962.3	-	843245	844406
mmsA	NC_000962.3	-	844422	845948
PE_PGRS11	NC_000962.3	+	846160	847905
PPE12	NC_000962.3	-	848109	850039
thrV	NC_000962.3	-	850650	850708
gene_779	NC_000962.3	-	850744	851458
phoP	NC_000962.3	+	851612	852344
phoR	NC_000962.3	+	852397	853851
gene_782	NC_000962.3	-	853829	854149
gene_783	NC_000962.3	-	854268	854679
adhB	NC_000962.3	-	854702	855823
gene_785	NC_000962.3	-	855932	856462
gene_786	NC_000962.3	-	856477	856676
cyp51	NC_000962.3	-	856685	858037
gene_788	NC_000962.3	-	858045	858861
cyp123	NC_000962.3	-	858865	860064
gene_790	NC_000962.3	-	860077	860705
aldA	NC_000962.3	+	860914	862376
gene_792	NC_000962.3	+	862417	863151
gene_793	NC_000962.3	+	863264	864135
gene_794	NC_000962.3	+	864145	864573
purD	NC_000962.3	+	864590	865848
ggtA	NC_000962.3	-	865856	867388
gene_797	NC_000962.3	-	867448	868342
gene_798	NC_000962.3	+	868412	869027
gene_799	NC_000962.3	-	868986	869760
purB	NC_000962.3	+	870012	871420
cyp126	NC_000962.3	+	871437	872673
gene_802	NC_000962.3	-	872671	873292
purC	NC_000962.3	+	873350	874228
emrB	NC_000962.3	-	876818	878436
gene_805	NC_000962.3	+	878639	879315
gene_806	NC_000962.3	+	879343	881031
gene_807	NC_000962.3	-	881083	881710
gene_808	NC_000962.3	+	881460	882413
gene_809	NC_000962.3	+	882531	882762
purQ	NC_000962.3	+	882759	883432
gene_811	NC_000962.3	-	883457	884049
gene_812	NC_000962.3	-	884079	884796
gene_813	NC_000962.3	-	884799	885838
gene_814	NC_000962.3	-	885839	886642
gene_815	NC_000962.3	+	886723	887018
gene_816	NC_000962.3	-	887143	888628
gene_817	NC_000962.3	+	890394	891481
cfp29	NC_000962.3	-	891478	892264
gene_819	NC_000962.3	-	892271	893271
pepC	NC_000962.3	+	893323	894614
gene_821	NC_000962.3	+	894635	894970
gene_822	NC_000962.3	-	894979	895619
purL	NC_000962.3	+	895819	898076
gene_824	NC_000962.3	+	898084	898709
gene_825	NC_000962.3	+	898835	899780
cpsY	NC_000962.3	-	899731	901321
gene_827	NC_000962.3	+	901634	902020
purF	NC_000962.3	+	902114	903686
purM	NC_000962.3	+	903732	904810
gene_830	NC_000962.3	-	904910	905081
gene_831	NC_000962.3	-	905235	906331
gene_832	NC_000962.3	+	906426	907287
gene_833	NC_000962.3	-	907337	908015
gene_834	NC_000962.3	+	3484817	3485110
cysA2	NC_000962.3	+	3483973	3484800
thiX	NC_000962.3	-	909616	910032
gene_837	NC_000962.3	-	910032	910840
gene_838	NC_000962.3	+	910976	911731
mshD	NC_000962.3	+	911738	912681
phoT	NC_000962.3	+	912732	913495
phoY2	NC_000962.3	-	913557	914194
gene_842	NC_000962.3	-	914262	916306
gene_843	NC_000962.3	-	916477	917646
desA1	NC_000962.3	-	917742	918747
ASdes	NC_000962.3	+	918270	918457
gene_846	NC_000962.3	-	918920	919550
gene_847	NC_000962.3	+	919642	920683
kmtR	NC_000962.3	-	920742	921125
gene_849	NC_000962.3	-	921195	921604
gene_850	NC_000962.3	+	921972	922871
gene_851	NC_000962.3	-	922896	923708
lysT	NC_000962.3	-	923805	923866
gluT	NC_000962.3	+	924004	924072
aspT	NC_000962.3	+	924116	924183
pheU	NC_000962.3	+	924212	924280
PE_PGRS12	NC_000962.3	+	924959	925364
PE_PGRS13	NC_000962.3	+	925381	927606
PE_PGRS14	NC_000962.3	-	927843	930478
lpqQ	NC_000962.3	+	930959	931588
gene_860	NC_000962.3	-	932279	932923
gene_861	NC_000962.3	-	933005	934023
lpqR	NC_000962.3	+	934726	935489
gene_863	NC_000962.3	+	935580	936387
pip	NC_000962.3	-	936462	937309
gene_865	NC_000962.3	+	937597	937831
gene_866	NC_000962.3	+	938117	939404
gene_867	NC_000962.3	+	939393	940385
narL	NC_000962.3	-	940456	941100
gene_869	NC_000962.3	+	941194	942467
gene_870	NC_000962.3	-	942679	944193
lpqS	NC_000962.3	+	944342	944735
cysK2	NC_000962.3	+	944940	946048
gene_873	NC_000962.3	+	946057	947306
gene_874	NC_000962.3	-	947649	948465
gene_875	NC_000962.3	+	948756	949394
pdc	NC_000962.3	-	949438	951114
gene_877	NC_000962.3	+	951190	951625
far	NC_000962.3	+	951634	952705
gene_879	NC_000962.3	+	952825	953224
gene_880	NC_000962.3	+	953262	953724
dapC	NC_000962.3	-	953731	954912
gene_882	NC_000962.3	+	955076	956280
fadB	NC_000962.3	+	956300	958450
ercc3	NC_000962.3	-	958527	960143
gene_885	NC_000962.3	-	960350	962606
gene_886	NC_000962.3	+	962598	962878
moaC2	NC_000962.3	+	962897	963392
mog	NC_000962.3	+	963395	963863
moaE2	NC_000962.3	+	963872	964286
rpfA	NC_000962.3	-	964316	965526
moaD2	NC_000962.3	-	965990	966253
moaA2	NC_000962.3	-	966267	967344
gene_893	NC_000962.3	-	967349	967728
cspB	NC_000962.3	+	967898	968296
PE_PGRS15	NC_000962.3	-	968423	970240
fadE10	NC_000962.3	+	970509	972455
gene_897	NC_000962.3	-	972547	973703
gene_898	NC_000962.3	-	973807	974293
gene_899	NC_000962.3	-	974295	975931
gene_900	NC_000962.3	+	976075	976856
PPE13	NC_000962.3	-	976875	978203
gene_902	NC_000962.3	-	978484	978756
gene_903	NC_000962.3	+	978938	979358
gene_904	NC_000962.3	+	979362	980225
gene_905	NC_000962.3	+	980229	980507
gene_906	NC_000962.3	-	980514	981261
serC	NC_000962.3	-	981424	982552
gene_908	NC_000962.3	+	982770	983781
fprB	NC_000962.3	+	983803	985530
gene_910	NC_000962.3	-	985515	985968
gene_911	NC_000962.3	+	987235	988697
citA	NC_000962.3	-	988741	989858
gene_913	NC_000962.3	-	989950	992591
gene_914	NC_000962.3	-	992606	993451
gene_915	NC_000962.3	+	993857	995339
gene_916	NC_000962.3	-	995324	996289
gene_917	NC_000962.3	+	996523	997700
gene_918	NC_000962.3	+	997787	999293
gltA2	NC_000962.3	+	999477	1000762
gene_920	NC_000962.3	-	1000817	1002408
gene_921	NC_000962.3	-	1002445	1002703
arfA	NC_000962.3	+	1002811	1003783
arfB	NC_000962.3	+	1003810	1003949
arfC	NC_000962.3	+	1003963	1004482
prrB	NC_000962.3	-	1004506	1005835
prrA	NC_000962.3	-	1005853	1006560
accD3	NC_000962.3	-	1006692	1008173
echA6	NC_000962.3	+	1008207	1008935
gene_929	NC_000962.3	+	1008949	1010053
gene_930	NC_000962.3	+	1010142	1011730
ctpE	NC_000962.3	+	1011735	1014118
gene_932	NC_000962.3	+	1014688	1014857
gene_933	NC_000962.3	+	1014868	1015300
gene_934	NC_000962.3	+	1015406	1016162
gene_935	NC_000962.3	+	1016236	1016678
gene_936	NC_000962.3	-	1017222	1018717
gene_937	NC_000962.3	-	1018731	1019956
PPE14	NC_000962.3	-	1020058	1021321
PE7	NC_000962.3	-	1021352	1021641
betP	NC_000962.3	+	1022086	1023868
gene_941	NC_000962.3	+	1024211	1024685
gene_942	NC_000962.3	+	1024689	1025180
argT	NC_000962.3	-	1025323	1025393
gene_944	NC_000962.3	-	1025500	1026809
gene_945	NC_000962.3	+	1027107	1027682
gene_946	NC_000962.3	+	1027687	1029335
gene_947	NC_000962.3	-	1029516	1030572
mntH	NC_000962.3	-	1030583	1031855
gene_949	NC_000962.3	-	1031901	1032633
gene_950	NC_000962.3	-	1032716	1033778
gene_951	NC_000962.3	-	1033845	1034626
pstS3	NC_000962.3	+	1034906	1036009
pstC2	NC_000962.3	+	1036036	1036999
pstA1	NC_000962.3	+	1036998	1037921
pknD	NC_000962.3	-	1037924	1039910
pstS2	NC_000962.3	-	1039937	1041048
pstB	NC_000962.3	+	1041271	1042085
pstS1	NC_000962.3	+	1042123	1043234
pstC1	NC_000962.3	+	1043299	1044307
pstA2	NC_000962.3	+	1044316	1045221
mku	NC_000962.3	-	1045206	1046020
ligD	NC_000962.3	+	1046137	1048407
gene_963	NC_000962.3	+	1048418	1050346
gene_964	NC_000962.3	-	1050592	1051458
gene_965	NC_000962.3	-	1051546	1052309
gene_966	NC_000962.3	+	1052365	1052635
gene_967	NC_000962.3	-	1052695	1053727
gene_968	NC_000962.3	+	1053770	1054236
gene_969	NC_000962.3	+	1054252	1055004
pgi	NC_000962.3	-	1055028	1056676
gene_971	NC_000962.3	-	1057306	1057526
gene_972	NC_000962.3	-	1057649	1057961
uvrD1	NC_000962.3	+	1058259	1060575
gene_974	NC_000962.3	-	1060659	1061646
sucC	NC_000962.3	+	1061966	1063119
sucD	NC_000962.3	+	1063143	1064046
gene_977	NC_000962.3	-	1064120	1064956
gene_978	NC_000962.3	+	1065131	1066036
gene_979	NC_000962.3	+	1066081	1067440
purN	NC_000962.3	+	1067566	1068202
purH	NC_000962.3	+	1068208	1069772
gene_982	NC_000962.3	+	1069888	1071255
gene_983	NC_000962.3	+	1071260	1073271
vapB9	NC_000962.3	+	1073329	1073540
vapC9	NC_000962.3	+	1073544	1073925
gene_986	NC_000962.3	+	1074081	1074415
lprP	NC_000962.3	-	1074447	1075108
gene_988	NC_000962.3	-	1075298	1076089
gene_989	NC_000962.3	-	1076200	1076672
gene_990	NC_000962.3	-	1076783	1077194
gene_991	NC_000962.3	-	1077240	1077831
csoR	NC_000962.3	+	1077976	1078331
gene_993	NC_000962.3	+	1078395	1078686
ctpV	NC_000962.3	+	1078748	1081050
gene_995	NC_000962.3	+	1081054	1081682
echA7	NC_000962.3	-	1081774	1082576
fadE12	NC_000962.3	-	1082586	1083750
accA2	NC_000962.3	-	1083750	1085750
accD2	NC_000962.3	-	1085756	1087339
fadE13	NC_000962.3	-	1087352	1088487
gene_1001	NC_000962.3	-	1088501	1090173
PE_PGRS16	NC_000962.3	+	1090374	1093143
PE_PGRS17	NC_000962.3	-	1093363	1094355
gene_1004	NC_000962.3	-	1094669	1094855
rpmF	NC_000962.3	+	1094891	1095055
PE_PGRS18	NC_000962.3	-	1095078	1096450
mprA	NC_000962.3	+	1096822	1097499
mprB	NC_000962.3	+	1097508	1099015
pepD	NC_000962.3	+	1099065	1100451
moaB2	NC_000962.3	+	1100459	1101002
mscL	NC_000962.3	-	1101024	1101478
gene_1012	NC_000962.3	+	1101805	1102543
gene_1013	NC_000962.3	+	1102545	1105107
gene_1014	NC_000962.3	+	1105115	1106272
grcC2	NC_000962.3	-	1106409	1107373
gene_1016	NC_000962.3	-	1107443	1108098
gene_1017	NC_000962.3	-	1108176	1108497
gene_1018	NC_000962.3	-	1108580	1109165
galU	NC_000962.3	+	1109272	1110189
moeA1	NC_000962.3	+	1110272	1111542
rimJ	NC_000962.3	+	1111616	1112216
gene_1022	NC_000962.3	+	1112385	1113458
alaV	NC_000962.3	+	1113517	1113576
gene_1024	NC_000962.3	+	1113868	1114110
gene_1025	NC_000962.3	+	1114300	1114715
gene_1026	NC_000962.3	+	1114754	1115742
gene_1027	NC_000962.3	+	1115772	1116523
gene_1028	NC_000962.3	-	1116532	1117143
arcA	NC_000962.3	+	1117185	1118389
gene_1030	NC_000962.3	-	1118436	1119936
gene_1031	NC_000962.3	+	1120021	1120872
gene_1032	NC_000962.3	-	1120897	1122142
gene_1033	NC_000962.3	-	1122221	1123593
gene_1034	NC_000962.3	+	1123722	1125413
metS	NC_000962.3	-	1125448	1126998
tatD	NC_000962.3	+	1127088	1127875
rpfB	NC_000962.3	+	1128098	1129176
ksgA	NC_000962.3	+	1129158	1130099
ispE	NC_000962.3	+	1130193	1131109
gene_1040	NC_000962.3	+	1131128	1131419
pks16	NC_000962.3	+	1131632	1133250
pth	NC_000962.3	-	1133332	1133899
rplY	NC_000962.3	-	1133922	1134559
lpqT	NC_000962.3	-	1134789	1135459
prsA	NC_000962.3	-	1135503	1136481
glmU	NC_000962.3	-	1136577	1138054
glnT	NC_000962.3	-	1138075	1138140
gene_1048	NC_000962.3	+	1138322	1138902
mfd	NC_000962.3	+	1138974	1142671
gene_1050	NC_000962.3	+	1142674	1143645
lpqU	NC_000962.3	+	1143738	1144464
eno	NC_000962.3	+	1144572	1145851
gene_1053	NC_000962.3	+	1145861	1146538
gene_1054	NC_000962.3	+	1146560	1147027
gene_1055	NC_000962.3	+	1147027	1147974
kdpE	NC_000962.3	-	1148431	1149102
kdpD	NC_000962.3	-	1149105	1151681
kdpF	NC_000962.3	+	1151927	1152009
kdpA	NC_000962.3	+	1152012	1153720
kdpB	NC_000962.3	+	1153732	1155851
kdpC	NC_000962.3	+	1155858	1156413
trcS	NC_000962.3	-	1156426	1157954
trcR	NC_000962.3	-	1157968	1158736
esxI	NC_000962.3	-	1160548	1160819
esxJ	NC_000962.3	-	1160857	1161144
PPE15	NC_000962.3	-	1161301	1162464
PE8	NC_000962.3	-	1162552	1163370
gene_1068	NC_000962.3	-	1164578	1165426
gene_1069	NC_000962.3	+	1277900	1278292
gene_1070	NC_000962.3	-	1165787	1166801
gene_1071	NC_000962.3	+	1167054	1167674
gene_1072	NC_000962.3	+	1167677	1168549
gene_1073	NC_000962.3	-	3381381	3382617
gene_1074	NC_000962.3	-	1171042	1172146
gene_1075	NC_000962.3	+	1172393	1172831
gene_1076	NC_000962.3	+	1172882	1173784
gene_1077	NC_000962.3	-	1173947	1174694
gene_1078	NC_000962.3	+	1175729	1176109
leuX	NC_000962.3	+	1177398	1177460
gene_1080	NC_000962.3	+	1177631	1178386
gene_1081	NC_000962.3	+	1179395	1180573
fadD14	NC_000962.3	+	1180683	1182307
gene_1083	NC_000962.3	+	1182390	1183453
gene_1084	NC_000962.3	+	1183515	1183979
gene_1085	NC_000962.3	+	1184016	1184873
gene_1086	NC_000962.3	+	1184885	1185731
gene_1087	NC_000962.3	-	1185741	1186821
lpqV	NC_000962.3	-	1186905	1187314
gene_1089	NC_000962.3	+	1187440	1187997
gene_1090	NC_000962.3	+	1188006	1188387
PE_PGRS19	NC_000962.3	-	1188427	1190416
PE_PGRS20	NC_000962.3	-	1190763	1192140
gene_1093	NC_000962.3	-	1192516	1194268
echA8	NC_000962.3	-	1194275	1195042
echA9	NC_000962.3	-	1195057	1196083
gene_1096	NC_000962.3	+	1196283	1197112
gene_1097	NC_000962.3	+	1197236	1198077
fadA3	NC_000962.3	-	1198157	1199370
gene_1099	NC_000962.3	-	1199425	1200370
lipU	NC_000962.3	+	1200766	1201652
cbs	NC_000962.3	+	1201720	1203109
gene_1102	NC_000962.3	+	1203314	1204028
metB	NC_000962.3	+	1204069	1205231
greA	NC_000962.3	-	1205306	1205798
gene_1105	NC_000962.3	-	1205988	1206412
mca	NC_000962.3	+	1206526	1207378
gene_1107	NC_000962.3	+	1207383	1207642
gene_1108	NC_000962.3	+	1207636	1209649
gene_1109	NC_000962.3	-	1209755	1210476
gene_1110	NC_000962.3	+	1210596	1211379
PE_PGRS21	NC_000962.3	+	1211568	1213862
PE9	NC_000962.3	+	1214519	1214938
gene_1113	NC_000962.3	+	1215233	1215405
PE_PGRS22	NC_000962.3	+	1216472	1219029
coaA	NC_000962.3	-	1219251	1220177
MTS0858	NC_000962.3	-	1220396	1220480
glyA1	NC_000962.3	+	1220573	1221853
desA2	NC_000962.3	+	1221965	1222778
phoH2	NC_000962.3	+	1223004	1224294
gene_1120	NC_000962.3	+	1224393	1225259
gene_1121	NC_000962.3	-	1225268	1226144
fum	NC_000962.3	-	1226148	1227565
glpX	NC_000962.3	-	1227603	1228679
gene_1124	NC_000962.3	+	1228690	1229376
gene_1125	NC_000962.3	-	1229397	1230546
mazF3	NC_000962.3	-	1230660	1230966
mazE3	NC_000962.3	-	1230977	1231291
gene_1128	NC_000962.3	-	1232843	1233953
xseB	NC_000962.3	-	1233972	1234218
xseA	NC_000962.3	-	1234221	1235460
gene_1131	NC_000962.3	-	1235465	1236094
lytB2	NC_000962.3	+	1236186	1237186
gene_1133	NC_000962.3	-	1237208	1238186
gene_1134	NC_000962.3	+	1238256	1239324
vapB32	NC_000962.3	+	1239420	1239605
vapC32	NC_000962.3	+	1239618	1239977
gene_1137	NC_000962.3	+	1240187	1240885
gene_1138	NC_000962.3	+	1241004	1241183
gene_1139	NC_000962.3	+	1241634	1241949
gene_1140	NC_000962.3	-	1241976	1242828
gene_1141	NC_000962.3	-	1242870	1243010
gene_1142	NC_000962.3	-	1243009	1243501
zwf1	NC_000962.3	+	1243715	1245102
gnd2	NC_000962.3	+	1245133	1246149
bpoB	NC_000962.3	-	1246151	1247044
ephC	NC_000962.3	+	1247127	1248070
gene_1147	NC_000962.3	+	1248090	1249326
gene_1148	NC_000962.3	-	1249337	1249933
ppdK	NC_000962.3	-	1249940	1251395
gene_1150	NC_000962.3	-	1251616	1252966
gene_1151	NC_000962.3	-	1253081	1254525
prpD	NC_000962.3	+	1254556	1256130
prpC	NC_000962.3	+	1256132	1257306
gene_1154	NC_000962.3	+	1257331	1259052
metE	NC_000962.3	-	1259070	1261341
gene_1156	NC_000962.3	+	1261924	1262151
PPE16	NC_000962.3	-	1262279	1264128
gene_1158	NC_000962.3	+	1265040	1265429
gene_1159	NC_000962.3	-	1265475	1266479
gene_1160	NC_000962.3	-	1266491	1266978
gene_1161	NC_000962.3	+	1267353	1268190
echA11	NC_000962.3	-	1268211	1269007
echA10	NC_000962.3	-	1269155	1269956
mcr	NC_000962.3	+	1270067	1271140
gene_1165	NC_000962.3	+	1271164	1271906
gene_1166	NC_000962.3	+	1272422	1273332
gene_1167	NC_000962.3	+	1273363	1274763
gene_1168	NC_000962.3	+	1274899	1275548
gene_1169	NC_000962.3	-	1276299	1277743
gene_1170	NC_000962.3	+	1277900	1278292
gene_1171	NC_000962.3	+	1278277	1278813
gene_1172	NC_000962.3	-	1278905	1279613
gene_1173	NC_000962.3	+	1279658	1280015
omt	NC_000962.3	-	1280000	1280840
gene_1175	NC_000962.3	-	1280844	1281483
gene_1176	NC_000962.3	+	1281429	1281863
gene_1177	NC_000962.3	+	1282029	1282209
gene_1178	NC_000962.3	+	1282313	1282889
gene_1179	NC_000962.3	-	1283058	1284163
mcr10	NC_000962.3	+	1283697	1283811
gene_1181	NC_000962.3	-	1284186	1284857
pimE	NC_000962.3	+	1284993	1286281
gene_1183	NC_000962.3	-	1286284	1286567
mutT2	NC_000962.3	+	1286598	1287015
narG	NC_000962.3	+	1287336	1291025
narH	NC_000962.3	+	1291067	1292733
narJ	NC_000962.3	+	1292799	1293398
narI	NC_000962.3	+	1293411	1294138
typA	NC_000962.3	+	1294169	1296047
lpqW	NC_000962.3	+	1296160	1298051
gene_1191	NC_000962.3	-	1298090	1298687
PPE17	NC_000962.3	-	1298766	1299800
lipX	NC_000962.3	-	1299821	1300123
mshB	NC_000962.3	+	1300310	1301210
gene_1195	NC_000962.3	+	1301312	1301740
PE12	NC_000962.3	-	1301756	1302675
fbiC	NC_000962.3	+	1302932	1305494
TB8.4	NC_000962.3	-	1305675	1306001
fadH	NC_000962.3	-	1306207	1308220
gene_1200	NC_000962.3	-	1308223	1308784
fdxC	NC_000962.3	+	1309011	1309330
gene_1202	NC_000962.3	+	1309365	1310452
gene_1203	NC_000962.3	-	1310481	1313291
pks3	NC_000962.3	+	1313724	1315188
pks4	NC_000962.3	+	1315237	1319978
papA3	NC_000962.3	+	1320040	1321449
mmpL10	NC_000962.3	+	1321523	1324526
gene_1208	NC_000962.3	-	1324539	1325609
fadD21	NC_000962.3	-	1325776	1327512
gene_1210	NC_000962.3	-	1327689	1329298
rocA	NC_000962.3	+	1329397	1331013
gene_1212	NC_000962.3	+	1331023	1332002
sigI	NC_000962.3	+	1332091	1332955
gene_1214	NC_000962.3	+	1332987	1333854
gene_1215	NC_000962.3	+	1333935	1334836
gene_1216	NC_000962.3	+	1334928	1335750
fadD36	NC_000962.3	+	1335801	1337208
gene_1218	NC_000962.3	-	1337254	1338507
PE13	NC_000962.3	+	1339006	1339300
PPE18	NC_000962.3	+	1339348	1340519
esxK	NC_000962.3	+	1340662	1340952
esxL	NC_000962.3	+	1341014	1341285
gene_1223	NC_000962.3	-	2828562	2829798
gene_1224	NC_000962.3	+	1342943	1344219
dapD	NC_000962.3	-	1344217	1345162
dapE	NC_000962.3	+	1345266	1346322
gene_1227	NC_000962.3	-	1346320	1346898
gene_1228	NC_000962.3	-	1346942	1348620
gene_1229	NC_000962.3	+	1348723	1349280
fadD6	NC_000962.3	+	1349337	1351116
folP2	NC_000962.3	+	1351194	1352139
gpgS	NC_000962.3	+	1352149	1353118
gene_1233	NC_000962.3	+	1353163	1353523
tagA	NC_000962.3	+	1353528	1354130
gene_1235	NC_000962.3	+	1354245	1354462
glgA	NC_000962.3	-	1354501	1355658
glgC	NC_000962.3	+	1355840	1357047
PE14	NC_000962.3	-	1357297	1357616
gene_1239	NC_000962.3	-	1357765	1359438
gene_1240	NC_000962.3	-	1359472	1360143
gene_1241	NC_000962.3	-	1360159	1361796
gene_1242	NC_000962.3	-	1361803	1362725
gene_1243	NC_000962.3	-	1362723	1363357
gene_1244	NC_000962.3	-	1363502	1364141
sigE	NC_000962.3	+	1364419	1365177
rseA	NC_000962.3	+	1365349	1365808
htrA	NC_000962.3	+	1365881	1367458
tatB	NC_000962.3	+	1367470	1367854
gene_1249	NC_000962.3	-	1367897	1368718
gene_1250	NC_000962.3	-	1368835	1370293
gene_1251	NC_000962.3	-	1370295	1370822
lpqX	NC_000962.3	+	1370920	1371476
gene_1253	NC_000962.3	+	1371531	1371701
mrp	NC_000962.3	-	1371777	1372949
gene_1255	NC_000962.3	-	1372965	1374194
gene_1256	NC_000962.3	-	1374324	1374858
gene_1257	NC_000962.3	-	1374860	1376162
gene_1258	NC_000962.3	-	1376238	1376823
gene_1259	NC_000962.3	+	1376976	1377494
lpqY	NC_000962.3	+	1377529	1378929
sugA	NC_000962.3	+	1378928	1379847
sugB	NC_000962.3	+	1379858	1380679
sugC	NC_000962.3	+	1380683	1381857
corA	NC_000962.3	-	1381950	1383042
mdh	NC_000962.3	+	1383221	1384195
vapB33	NC_000962.3	+	1384284	1384538
vapC33	NC_000962.3	+	1384535	1384962
PE_PGRS23	NC_000962.3	-	1384989	1386673
lpqZ	NC_000962.3	+	1386856	1387714
gene_1270	NC_000962.3	-	1387799	1388625
relE	NC_000962.3	-	1388693	1388975
relB	NC_000962.3	-	1388983	1389242
gene_1273	NC_000962.3	-	1389363	1393043
gene_1274	NC_000962.3	-	1393195	1393973
gene_1275	NC_000962.3	+	1394187	1395918
gene_1276	NC_000962.3	-	1395823	1399231
lprE	NC_000962.3	-	1399300	1399901
deaD	NC_000962.3	+	1399978	1401653
gene_1279	NC_000962.3	+	1401657	1402801
gene_1280	NC_000962.3	-	1402779	1403385
cyp130	NC_000962.3	-	1403393	1404600
gene_1282	NC_000962.3	-	1404720	1406078
gene_1283	NC_000962.3	-	1406082	1407334
udgB	NC_000962.3	+	1407345	1408233
gene_1285	NC_000962.3	+	1408239	1409352
gene_1286	NC_000962.3	-	1409487	1409928
gene_1287	NC_000962.3	-	1409937	1410367
amiB2	NC_000962.3	+	1410437	1411812
gene_1289	NC_000962.3	+	1411894	1413086
mcr11	NC_000962.3	-	1413101	1413221
gene_1291	NC_000962.3	+	1413262	1413935
pknH	NC_000962.3	-	1413961	1415832
embR	NC_000962.3	-	1416187	1417346
gene_1294	NC_000962.3	-	1417661	1418356
gene_1295	NC_000962.3	-	1418587	1418949
lprA	NC_000962.3	-	1419021	1419740
gene_1297	NC_000962.3	-	1419967	1420299
gene_1298	NC_000962.3	-	1420413	1422298
gene_1299	NC_000962.3	-	1422304	1424048
